14	8.45	1
15	5.85	1
16	11.7	1
17	15.6	1
18	14.95	1
12	10.4	8
11	6.5	8
13	7.8	1
1	15.6	9
2	15.6	9
3	16.9	10
4	18.85	10
5	17.55	13
6	18.2	14
7	26.65	15
8	16.25	16
9	16.9	17
10	13.65	18
1	13	2
2	8.45	2
3	6.5	2
4	11.05	2
5	10.4	2
6	8.45	2
1	13	3
2	9.75	3
3	10.4	3
4	12.35	3
5	9.75	3
6	7.8	3
7	14.3	3
8	15.6	3
11	17.55	11
12	11.05	11
9	16.25	3
10	12.35	3
11	17.55	3
12	13.65	3
13	13	3
14	10.4	3
15	14.3	3
16	11.7	3
17	14.3	3
18	10.4	3
13	16.25	12
14	24.05	19
15	28.6	20
16	11.7	12
17	14.3	12
18	16.9	23
11	9.1	4
12	7.8	4
13	14.3	4
14	16.25	4
15	13.65	4
16	17.55	4
1	5.2	5
2	11.05	5
3	12.35	5
4	8.45	5
5	12.35	5
6	5.85	5
7	9.1	5
1	10.4	21
2	10.4	22
1	11.7	6
2	11.7	6
3	13.65	6
4	11.7	6
5	13.65	6
6	9.75	6
7	13	6
8	13	6
9	15.6	6
10	13	6
3	17.55	24
4	51.35	25
5	30.55	26
6	25.35	27
7	27.3	28
8	8.45	29
13	11.7	7
14	7.15	7
15	11.7	7
16	11.05	7
17	9.75	7
18	11.05	7
9	14.3	30
10	16.25	30
11	15.6	31
12	20.8	32
13	19.5	33
14	18.2	34
21	7.15	1
22	8.45	1
23	9.75	1
24	11.05	1
25	9.75	1
26	7.8	1
19	11.05	41
20	2.6	42
21	3.9	43
22	9.75	44
21	8.45	35
22	9.1	35
23	7.8	35
24	9.75	35
25	10.4	40
26	10.4	40
27	9.75	40
28	8.45	40
29	11.7	45
30	5.85	46
23	11.05	47
24	8.45	48
25	8.45	48
26	6.5	49
21	7.8	3
22	7.15	3
23	7.8	3
24	10.4	3
25	9.1	3
26	6.5	3
27	7.8	3
28	26	50
29	18.2	51
20	11.7	3
19	11.05	3
28	11.05	3
29	9.1	3
30	9.75	3
27	15.6	52
30	15.6	53
31	6.5	3
32	7.8	3
19	12.35	36
20	9.1	36
21	7.8	36
22	6.5	36
23	9.75	36
24	7.15	36
25	9.75	54
26	7.8	54
27	5.2	55
26	2.6	37
27	4.55	37
28	5.85	37
29	3.25	37
30	6.5	37
31	9.75	37
32	6.5	37
31	5.85	54
32	5.2	54
23	7.15	54
22	4.55	54
21	5.2	54
20	7.15	54
19	5.2	54
24	9.75	55
25	10.4	56
26	8.45	57
23	7.8	38
24	7.15	38
25	5.85	38
26	5.85	38
27	7.8	38
28	7.15	38
29	6.5	38
30	8.45	38
21	11.7	58
22	7.8	59
23	6.5	59
24	17.55	60
25	11.05	61
26	12.35	62
27	26.65	63
28	13	64
29	20.15	65
19	7.8	39
20	8.45	39
21	7.15	39
22	7.8	39
23	7.8	39
24	7.15	39
25	8.45	39
26	13	66
27	13	67
28	14.95	68
29	14.3	69
30	17.55	70
19	18.85	71
20	16.9	72
31	4.55	1
32	4.55	1
33	3.9	1
34	3.25	1
45	2.6	1
46	3.25	1
37	3.9	1
38	3.9	1
39	4.55	1
40	1.95	1
41	4.55	73
42	5.2	73
43	5.85	74
44	9.75	75
31	6.5	76
32	7.15	77
33	7.8	78
34	14.95	79
35	4.55	80
36	3.25	80
37	9.75	80
38	9.1	80
39	5.85	80
40	9.1	80
41	8.45	80
42	6.5	80
43	10.4	81
44	3.9	82
31	7.15	83
32	6.5	84
33	7.15	85
34	7.15	86
31	3.25	3
32	3.25	3
33	4.55	3
34	5.2	3
35	5.85	3
36	4.55	3
37	6.5	3
38	4.55	3
39	3.9	3
40	4.55	3
41	3.25	3
42	2.6	3
43	3.9	3
44	3.25	3
35	6.5	87
36	9.1	88
37	5.85	89
38	6.5	90
39	9.75	91
40	6.5	92
45	5.2	3
46	3.25	3
41	5.85	93
42	6.5	93
43	7.15	93
44	2.6	93
45	5.85	93
46	4.55	93
31	6.5	93
32	5.2	93
33	5.85	93
34	7.15	93
35	3.9	93
36	3.25	93
37	6.5	94
38	5.85	94
39	13.65	95
40	9.1	96
41	9.75	97
42	5.85	98
43	11.05	99
44	16.25	100
45	7.15	101
46	6.5	102
31	3.9	103
32	5.85	103
33	6.5	103
34	5.2	103
35	4.55	103
36	7.15	103
37	7.8	104
38	9.75	104
39	11.05	104
40	11.05	104
57	2.6	1
58	4.55	1
59	3.25	1
60	2.6	1
61	5.2	1
62	3.9	1
47	5.85	1
48	5.2	1
49	5.2	1
50	6.5	1
47	10.4	108
48	7.15	109
49	9.75	110
50	8.45	111
51	4.55	112
52	5.85	112
53	5.2	112
54	14.95	113
47	5.85	3
48	3.25	3
49	4.55	3
50	4.55	3
51	5.85	3
52	5.85	3
53	5.2	3
